country,programId,locationId
,101,979
es,NULL,NULL
es,1,11111
es,195,834
es,195,894
es,195,898
es,195,899
es,195,900
es,197,11111
es,198,11111
es,199,11111
es,206,934
es,206,1162
es,206,11111
es,206,11142
es,206,11143
es,207,849
es,207,880
es,207,931
es,207,933
es,210,849
es,210,852
es,210,880
es,210,932
es,210,933
es,210,1063
es,210,1064
es,210,1100
es,211,928
es,211,929
es,211,930
es,211,932
es,211,953
es,211,1028
es,211,1095
es,211,1100
es,211,1140
es,211,1158
es,218,880
es,218,953
es,218,954
es,218,955
es,223,920
es,223,1165
es,223,1166
es,223,1167
es,223,1168
es,223,11094
es,258,1058
es,285,11094
in,61,371
in,61,641
in,61,651
in,61,661
in,61,681
in,61,721
in,61,828
in,61,830
in,61,832
in,61,833
in,61,870
in,61,878
in,61,879
in,61,886
in,61,887
in,61,893
in,61,1030
in,61,1081
in,61,1087
in,61,11103
in,61,11124
in,61,11125
in,71,321
in,71,341
in,71,351
in,71,361
in,71,381
in,71,391
in,71,401
in,71,411
in,71,421
in,71,631
in,71,641
in,71,671
in,71,681
in,71,691
in,71,701
in,71,711
in,71,721
in,71,731
in,71,741
in,71,751
in,71,761
in,71,771
in,71,773
in,71,774
in,71,801
in,71,802
in,71,804
in,71,839
in,71,842
in,71,1029
in,71,11105
in,196,361
in,196,681
in,196,799
in,201,321
in,201,381
in,201,391
in,201,401
in,201,421
in,201,641
in,201,651
in,201,731
in,201,800
in,201,801
in,201,803
in,201,804
in,201,821
in,201,828
in,201,831
in,204,321
in,204,381
in,204,391
in,212,844
in,212,866
in,216,681
in,219,897
in,224,936
in,224,981
in,224,1014
in,224,1016
in,224,1042
in,224,1045
in,224,1075
in,224,1077
in,224,1080
in,224,1083
in,224,1094
in,224,1110
in,224,1116
in,224,1127
in,224,1134
in,224,1136
in,224,11095
in,224,11096
in,224,11097
in,224,11098
in,224,11099
in,225,926
in,225,935
in,225,982
in,225,1012
in,225,1014
in,225,1015
in,225,1042
in,225,1076
in,225,1087
in,225,1115
in,225,1127
in,225,1131
in,225,1134
in,225,1136
in,225,1137
in,225,1145
in,225,1148
in,225,1160
in,225,1169
in,225,11095
in,225,11096
in,225,11097
in,225,11098
in,225,11099
in,251,1042
in,251,1045
in,251,1077
in,251,1098
in,251,1164
in,265,1097
in,266,926
in,266,1098
in,266,1148
in,266,1163
ke,81,191
ke,81,835
ke,81,889
ke,81,921
ke,81,951
ke,81,1102
ke,91,191
ke,91,251
ke,91,871
ke,91,889
ke,91,890
ke,91,903
ke,91,904
ke,91,913
ke,91,942
ke,91,949
ke,91,962
ke,91,963
ke,91,964
ke,91,965
ke,91,966
ke,91,967
ke,91,968
ke,91,969
ke,91,970
ke,91,1157
ke,101,191
ke,101,251
ke,101,813
ke,101,835
ke,101,836
ke,101,837
ke,101,838
ke,101,871
ke,101,889
ke,101,890
ke,101,891
ke,101,903
ke,101,904
ke,101,913
ke,101,917
ke,101,924
ke,101,925
ke,101,942
ke,101,949
ke,101,962
ke,101,963
ke,101,964
ke,101,965
ke,101,966
ke,101,967
ke,101,968
ke,101,969
ke,101,970
ke,101,971
ke,101,972
ke,101,973
ke,101,974
ke,101,975
ke,101,976
ke,101,977
ke,101,978
ke,101,979
ke,101,980
ke,101,986
ke,101,988
ke,101,989
ke,101,992
ke,101,993
ke,101,997
ke,101,1002
ke,101,1003
ke,101,1006
ke,101,1007
ke,101,1019
ke,101,1020
ke,101,1021
ke,101,1022
ke,101,1025
ke,101,1103
ke,101,1104
ke,101,1142
ke,101,1143
ke,101,1185
ke,101,1186
ke,101,1187
ke,101,1188
ke,191,11112
ke,192,956
ke,192,979
ke,192,1027
ke,192,1062
ke,192,1073
ke,192,1189
ke,193,291
ke,193,441
ke,193,451
ke,193,778
ke,193,779
ke,193,780
ke,193,781
ke,193,782
ke,193,783
ke,193,784
ke,193,785
ke,193,786
ke,193,787
ke,193,788
ke,193,789
ke,193,794
ke,193,795
ke,193,796
ke,193,797
ke,193,808
ke,193,809
ke,193,906
ke,193,907
ke,235,960
ke,235,961
ke,236,890
ke,236,903
ke,236,913
ke,236,942
ke,236,963
ke,236,966
ke,236,968
ke,236,969
ke,236,974
ke,236,976
ke,236,986
ke,236,987
ke,236,988
ke,236,989
ke,236,990
ke,236,991
ke,236,992
ke,236,993
ke,236,994
ke,236,995
ke,236,996
ke,236,997
ke,236,998
ke,236,999
ke,236,1000
ke,236,1001
ke,236,1002
ke,236,1003
ke,236,1004
ke,236,1005
ke,236,1006
ke,236,1007
ke,236,1008
ke,272,1132
ke,272,1133
mx,111,11113
mx,121,11113
mx,131,910
mx,131,914
mx,131,941
mx,131,1013
mx,131,1090
mx,131,11113
mx,205,845
mx,205,943
mx,205,1084
mx,220,915
mx,220,916
mx,227,923
us,161,111
us,161,141
us,161,772
us,161,1039
us,161,1088
us,194,11114
us,203,775
us,203,869
us,203,922
us,203,946
us,203,1041
us,208,793
us,208,822
us,208,848
us,208,908
us,208,1109
us,217,892
us,222,181
us,222,848
us,222,912
us,222,945
us,222,1024
us,222,1046
us,222,1054
us,222,1070
us,222,1108
us,228,939
us,228,1057
us,230,940
us,230,1032
us,237,985
us,238,1010
us,238,1023
us,245,1033
us,245,1059
us,245,1085
us,247,1035
us,248,1044
us,248,1047
us,248,1048
us,248,1086
us,276,1086
hk,213,927
hk,214,874
hk,214,1135
fr,221,905
fr,234,959
fr,259,1061
fr,261,1072
sg,229,937
sg,229,948
sg,229,1034
sg,264,1091
sg,264,1155
sg,267,1114
sg,267,1150
it,232,950
it,232,952
it,232,1040
it,232,1051
it,232,1055
it,232,1066
it,232,1067
it,232,1068
it,232,1071
it,232,1105
it,232,1106
it,232,1107
it,232,1124
it,232,1125
it,232,1172
it,232,1173
it,232,1174
it,232,11093
it,232,11116
it,232,11117
it,232,11118
it,250,1056
it,250,1060
it,250,1099
it,250,1149
it,250,1174
it,250,11119
it,250,11120
it,250,11121
it,250,11122
it,250,11127
it,263,1078
it,263,1079
it,263,1089
it,274,1078
it,274,1079
it,274,1089
it,274,1156
it,274,1173
pk,241,1018
pk,241,1074
pk,241,1153
pk,241,11126
pk,262,1092
br,257,1052
br,257,1126
br,257,11092
br,257,11107
br,257,11108
gb,242,1026
gb,242,1096
gb,242,1175
gb,243,1031
gb,243,1082
gb,260,1065
gb,269,1117
gb,277,1176
au,271,1129
au,271,11115
au,288,11141
